size,stones,score_komi,score_neural,winrate_komi
3,,14.0,4.41631785,0.32546668
4,,0.5,2.35168486,0.441391616
5,,25.5,23.3396268,0.437905434
6,,3.0,4.28288344,0.5183593
7,,8.0,8.65940698,0.527909836
8,,9.0,6.6326318,0.471814026
10,,6.0,5.58521574,0.44659775
11,,6.0,5.47153455,0.553828399
12,,6.0,5.5399359,0.507293585
14,,6.0,5.53821535,0.510521835
15,,6.0,5.70364909,0.534102492
16,,6.0,5.77302507,0.532312851
17,,6.0,5.92920596,0.522637925
18,,6.0,6.08633968,0.525201691
19,,6.5,6.17118132,0.470277244
19,BQ16 BD4,20.0,19.1745212,0.491446562
19,BQ16 BD4 BQ4,32.5,32.5471658,0.503298121
19,BQ16 BD4 BQ4 BD16,47.5,46.6185641,0.481386892
19,BQ16 BD4 BQ4 BD16 BK10,59.5,58.3445262,0.505809319
19,BQ16 BD4 BQ4 BD16 BD10 BQ10,72.5,71.7517137,0.492658386
19,BQ16 BD4 BQ4 BD16 BK10 BD10 BQ10,86.0,85.0782297,0.505323862
19,BQ16 BD4 BQ4 BD16 BD10 BQ10 BK16 BK4,100.5,100.273427,0.493154056
19,BQ16 BD4 BQ4 BD16 BK10 BD10 BQ10 BK16 BK4,115.5,114.71593,0.503969041
13,,6.0,5.56231953,0.524388555
13,BK10 BD4,19.5,18.6482235,0.493416573
13,BK10 BD4 BK4,32.5,30.7139137,0.479663103
13,BK10 BD4 BK4 BD10,48.0,47.3932806,0.493366048
13,BK10 BD4 BK4 BD10 BG7,59.0,58.553337,0.502129026
13,BK10 BD4 BK4 BD10 BD7 BK7,75.0,74.5019618,0.488873479
13,BK10 BD4 BK4 BD10 BG7 BD7 BK7,87.0,84.0194231,0.486760054
13,BK10 BD4 BK4 BD10 BD7 BK7 BG10 BG4,100.5,96.0994388,0.504918302
13,BK10 BD4 BK4 BD10 BG7 BD7 BK7 BG10 BG4,109.5,102.349951,0.48850543
9,,6.0,5.96844726,0.505922927
9,BG7 BC3,16.0,16.0451617,0.492563649
9,BG7 BC3 BG3,27.5,27.0571463,0.501819154
9,BG7 BC3 BG3 BC7,75.0,53.4722033,0.509281498
9,BG7 BC3 BG3 BC7 BE5,74.5,79.0138383,0.481997161
9,,6.0,5.96844726,0.505922927
9,BA1,5.5,5.82209503,0.500222164
9,BA2,10.0,10.2187283,0.545548892
9,BA3,10.5,10.6126714,0.524044634
9,BA4,11.5,11.3268246,0.509796378
9,BA5,12.0,11.7371941,0.50235488
9,BB2,15.0,14.5118326,0.514364513
9,BB3,17.0,16.1435537,0.512712431
9,BB4,18.5,17.5699272,0.490154337
9,BB5,18.0,17.9014833,0.498167977
9,BC3,18.0,17.582373,0.487676297
9,BC4,20.0,19.2849458,0.540536805
9,BC5,20.5,19.5206517,0.474527729
9,BD4,21.0,19.9661747,0.535145044
9,BD5,21.0,20.0568277,0.516025088
9,BE5,19.5,19.2407171,0.530927674
9,WA1,7.0,6.37497738,0.43731164
9,WA2,2.5,2.21800926,0.543865504
9,WA3,2.5,1.78092376,0.479797399
9,WA4,1.5,0.909800667,0.500174354
9,WA5,1.0,0.638790944,0.518997323
9,WB2,-0.5,-0.457530759,0.507131345
