"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/15/2017","Amazon","AMAZON.COM SEATTLE WA US","8.70","debit","Shopping","Luxuries","",""
"1/19/2016","Chewy Com","CHEWY.COM","205.62","credit","Credit Card Payment","CREDIT CARD","",""
"1/19/2016","Chewy Com","CHEWY.COM","205.62","debit","Uncategorized","CREDIT CARD","",""
"1/15/2017","Whole Foods","WHOLEFDS  1025 GILMAN BERKELEY CA US","18.31","debit","Groceries","Restaurants","",""
"1/15/2017","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","500.00","credit","Transfer","Bills","",""
"1/15/2017","Longtujin","PAYPAL *LONGTUJIN San Jose CA US","7.98","debit","Uncategorized","Bills","",""
"1/15/2017","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","70.00","credit","Transfer","Luxuries","",""
"1/15/2017","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","70.00","debit","Transfer","Income","",""
"1/15/2017","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","500.00","debit","Transfer","Income","",""
"1/15/2017","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","400.00","debit","Transfer","Income","",""
"1/15/2017","Daiso Ba Ect","DAISO BA15 ECT EL CERRITO CA US","26.64","debit","Uncategorized","Groceries","",""
"1/15/2017","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","400.00","credit","Transfer","Groceries","",""
"1/13/2017","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3171.67 ~ Tran: DDIR","3171.67","credit","Paycheck","Dropbox Savings","",""
"1/13/2017","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"1/12/2017","Coinbase Com Btc","COINBASE.COM/BTC 8003435845","0.16","credit","Income","Income","",""
"1/12/2017","Coinbase Com Btc","COINBASE.COM/BTC 8003435845","0.11","credit","Income","Income","",""
"1/11/2017","T-Mobile","T-MOBILE PCS SVC~ Future Amount: 58.66 ~ Tran: ACHDW","58.66","debit","Mobile Phone","Bills","",""
"1/10/2017","Transfer from Taxes","Internet transfer from Interest Checking account XXXXXX5329","10000.00","credit","Transfer","Investing","",""
"1/10/2017","Zachary A Vance","ZACHARY A VANCE (Ally Online Savings Account XXXXXX4754) sen","1000.00","debit","Uncategorized","Dropbox Savings","",""
"1/10/2017","Amazon","AMAZON.COM SEATTLE WA US","1.73","debit","Shopping","Luxuries","",""
"1/10/2017","Netflix","NETFLIX COM LOS GATOS CA US","7.99","debit","Movies & DVDs","Luxuries","",""
"1/10/2017","Transfer to Investing","Internet transfer to Interest Checking account XXXXXX5815","10000.00","debit","Transfer","Taxes","",""
"1/09/2017","Amazon","AMAZON.COM SEATTLE WA US","75.38","debit","Shopping","Luxuries","",""
"1/09/2017","Amazon","AMAZON.COM SEATTLE WA US","14.19","debit","Shopping","Luxuries","",""
"1/07/2017","Amazon","AMAZON.COM SEATTLE WA US","27.30","debit","Shopping","Luxuries","",""
"1/04/2017","Steam Games","STEAMGAMES.COM BELLEVUE WA US","10.11","debit","Entertainment","Luxuries","",""
"1/04/2017","Amazon","AMAZON.COM SEATTLE WA US","26.05","debit","Shopping","Luxuries","",""
"1/04/2017","Amazon","AMAZON.COM SEATTLE WA US","6.99","debit","Shopping","Luxuries","",""
"1/02/2017","Digitalocean Com Ny","DIGITALOCEAN.COM 6463978051 NY US","5.00","debit","Income","Bills","",""
"1/02/2017","Scott Design","GOOGLE *RaeScottDesign g.co/payhelp# CA US","4.99","debit","Business Services","Luxuries","",""
"12/31/2016","Amazon","AMAZON.COM SEATTLE WA US","7.87","debit","Shopping","Luxuries","",""
"12/30/2016","Amazon","AMAZON.COM SEATTLE WA US","1.09","debit","Shopping","Luxuries","",""
"12/30/2016","Amazon","AMAZON.COM SEATTLE WA US","36.99","debit","Shopping","Luxuries","",""
"12/30/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3514.06 ~ Tran: DDIR","3514.06","credit","Paycheck","Dropbox Savings","",""
"12/30/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"12/28/2016","Aksauctions","PAYPAL *AKSAUCTIONS San Jose CA US","149.99","debit","Uncategorized","Bills","",""
"12/27/2016","Comcast","COMCAST COMCAST","80.90","debit","Television","Bills","",""
"12/27/2016","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5303) sent mon","697.00","debit","Uncategorized","Rent","",""
"12/22/2016","Subway","SUBWAY        00336065 HOUSTON TX US","6.55","debit","Fast Food","Luxuries","",""
"12/22/2016","Tribunenewsst","TRIBUNENEWSST2660 OAKLAND CA US","4.12","debit","Newspapers & Magazines","Luxuries","",""
"12/21/2016","Zachary A Vance","ZACHARY A VANCE (Ally Online Savings Account XXXXXX4754) sen","500.00","debit","Uncategorized","Dropbox Savings","",""
"12/20/2016","Interest Paid","Interest Paid","0.04","credit","Interest Income","Bills","",""
"12/20/2016","Interest Paid","Interest Paid","28.52","credit","Interest Income","Dropbox Savings","",""
"12/20/2016","Amazon","AMAZON.COM SEATTLE WA US","9.92","debit","Shopping","Luxuries","",""
"12/20/2016","Interest Paid","Interest Paid","0.06","credit","Interest Income","Luxuries","",""
"12/20/2016","Interest Paid","Interest Paid","0.03","credit","Interest Income","Income","",""
"12/20/2016","Interest Paid","Interest Paid","0.71","credit","Interest Income","Rent","",""
"12/20/2016","Interest Paid","Interest Paid","4.70","credit","Interest Income","Taxes","",""
"12/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Groceries","",""
"12/20/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","200.00","credit","Transfer","Bills","",""
"12/20/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","280.00","credit","Transfer","Luxuries","",""
"12/20/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","280.00","debit","Transfer","Income","",""
"12/20/2016","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","200.00","debit","Transfer","Income","",""
"12/17/2016","Amazon","AMAZON.COM SEATTLE WA US","9.32","debit","Shopping","Luxuries","",""
"12/17/2016","Target","TARGET T- 1057 Eastsho Albany CA US","41.45","debit","Shopping","Groceries","",""
"12/15/2016","Amazon","AMAZON.COM SEATTLE WA US","44.49","debit","Shopping","Luxuries","",""
"12/15/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3548.77 ~ Tran: DDIR","3548.77","credit","Paycheck","Dropbox Savings","",""
"12/15/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"12/14/2016","Amazon","AMAZON.COM SEATTLE WA US","30.46","debit","Shopping","Luxuries","",""
"12/14/2016","Cool Material Nj","COOL MATERIAL 888-626-0706 NJ US","62.84","debit","Uncategorized","Luxuries","",""
"12/14/2016","Lordoflifty Ca Us","PAYPAL *LORDOFLIFTY 4029357733 CA US","32.38","debit","Uncategorized","Luxuries","",""
"12/13/2016","Check 1002","Check Paid #1002","3820.00","debit","Check","Bills","",""
"12/13/2016","Amazon","AMAZON DIGITAL SVCS 86 866-216-1072 WA US","26.95","debit","Shopping","Luxuries","",""
"12/13/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","100.00","debit","Transfer","Dropbox Savings","",""
"12/13/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","30.00","credit","Transfer","Luxuries","",""
"12/13/2016","Transfer from Dropbox Savings","Internet transfer from Online Savings account XXXXXX4754","100.00","credit","Transfer","Luxuries","",""
"12/13/2016","Amazon","AMAZON.COM SEATTLE WA US","43.72","debit","Shopping","Luxuries","",""
"12/13/2016","Amazon","AMAZON.COM SEATTLE WA US","147.88","debit","Shopping","Luxuries","",""
"12/13/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","30.00","debit","Transfer","Income","",""
"12/13/2016","Lays","Payment To Lays Farra","32.00","debit","Pets","PayPal Account","",""
"12/12/2016","Lays","Payment To Lays Farra","32.00","debit","Pets","PayPal Account","",""
"12/12/2016","Echeck Deposit","eCheck Deposit","71.45","credit","Income","Luxuries","",""
"12/12/2016","Transfer from Dropbox Savings","Internet transfer from Online Savings account XXXXXX4754","3820.00","credit","Transfer","Bills","",""
"12/12/2016","T-Mobile","T-MOBILE PCS SVC","58.78","debit","Mobile Phone","Bills","",""
"12/12/2016","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","3820.00","debit","Transfer","Dropbox Savings","",""
"12/11/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","300.00","credit","Transfer","Luxuries","",""
"12/11/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","300.00","debit","Transfer","Income","",""
"12/11/2016","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","150.00","debit","Transfer","Income","",""
"12/11/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","150.00","credit","Transfer","Groceries","",""
